method,chunk_number,chunk_text,is_complete,total_chunks
naive,4,"g)          Return an iterator over the attribute names.          .. versionadded:: 0.10     """"""    ",no,52
naive,5,"tributeError(name) from None      def __setattr__(self, name: str, value: t.Any) -> None:         se",no,52
naive,6,"None) -> t.Any:         """"""Get an attribute by name, or a default value. Like         :meth:`dict.ge",yes,52
naive,7,"ault: t.Any = _sentinel) -> t.Any:         """"""Get and remove an attribute by name. Like :meth:`dict.",yes,52
naive,8,"             return self.__dict__.pop(name)         else:             return self.__dict__.pop(name,",yes,52
naive,9,ttribute to get.         :param default: Value to set and return if the attribute is not            ,yes,52
naive,10,rn iter(self.__dict__)      def __repr__(self) -> str:         ctx = _cv_app.get(None)         if ct,no,52
naive,11,"current request. The behavior is the     same as :meth:`.Flask.after_request`, except it only applie",no,52
naive,12,"        def add_header(response):                 response.headers[""X-Foo""] = ""Parachute""           ",yes,52
naive,13," request""             "" context is active, such as in a view function.""         )      ctx._after_re",yes,52
naive,14,"ound task, otherwise it will not see the app     and request objects that were active in the parent.",yes,52
naive,15,"itching partially though reading data, either     read the request body (access ``form``, ``json``, ",yes,52
naive,16,ll     so that the ``Vary: cookie`` header will be set. Modifying ``session`` in     the task should,no,52
naive,17," @copy_current_request_context             def do_some_work():                 # do some work here, ",no,52
naive,18," = _cv_app.get(None)      if ctx is None:         raise RuntimeError(             ""'copy_current_req",yes,52
naive,19,"_sync(f)(*args, **kwargs)      return update_wrapper(wrapper, f)  # type: ignore[return-value]   def",yes,52
naive,20,"= request.remote_addr      If a request context is active, the :data:`.request` and :data:`.session`",yes,52
naive,21,"ote_addr = request.remote_addr      .. versionadded:: 0.7     """"""     return (ctx := _cv_app.get(Non",yes,52
naive,22,"om flask import has_app_context, g          if has_app_context():             g.cached_data = ...   ",yes,52
naive,23,"          if g:             g.cached_data = ...      .. versionadded:: 0.9     """"""     return _cv_ap",yes,52
naive,24,"he context is referred to     as a ""request context"" if it has request information, and an ""app cont",yes,52
naive,25,"ntext is popped, it will evaluate all the teardown functions     registered with :meth:`~flask.Flask",yes,52
naive,26,"text after the request ends. However, teardown functions may already have     closed some resources ",yes,52
naive,27,"s context represents. If not given,         loaded from the request on first access.      .. version",yes,52
naive,28,er than trying to detect if an app context is already         pushed.      .. versionchanged:: 3.2  ,no,52
naive,29,"| None = None,     ) -> None:         self.app = app         """"""The application represented by this ",yes,52
naive,30,"e = None         """"""The URL adapter bound to the request, or the app if not in a request.         Ma",yes,52
naive,31,ft.AfterRequestCallable[t.Any]] = []          try:             self.url_adapter = app.create_url_ada,yes,52
naive,32," restore when popping.""""""          self._push_count: int = 0         """"""Track nested pushes of this ",no,52
naive,33,ven WSGI environ.          :param app: The application this context represents.         :param envir,yes,52
naive,34,"f this context was created with request data.""""""         return self._request is not None      def c",yes,52
naive,35,"e original data.          .. versionadded:: 0.10         """"""         return self.__class__(         ",yes,52
naive,36," available in request contexts, otherwise raises         :exc:`RuntimeError`.         """"""         if",yes,52
naive,37,"""""         if self._request is None:             raise RuntimeError(""There is no request in this con",yes,52
naive,38,"f.app)          return self._session      @property     def session(self) -> SessionMixin:         """,yes,52
naive,39,ssion = self._get_session()         session.accessed = True         return session      def match_re,no,52
naive,40,[union-attr]         except HTTPException as e:             self._request.routing_exception = e  # t,no,52
naive,41,"quest context, calls :meth:`match_request` to perform routing with         the context active.      ",yes,52
naive,42,"als if it         is not currently pushed.         """"""         self._push_count += 1          if sel",yes,52
naive,43,that the request context is available.             # This allows a custom open_session method to use,no,52
naive,44,"  self.match_request()      def pop(self, exc: BaseException | None = None) -> None:         """"""Pop ",no,52
naive,45,"y be the active context, otherwise a         :exc:`RuntimeError` is raised. In some situations, such",yes,52
naive,46,: An unhandled exception that was raised while the context was             active. Passed to teardow,yes,52
naive,47,one)          if ctx is None or self._cv_token is None:             raise RuntimeError(             ,yes,52
naive,48,"{ctx!r}).""             )          self._push_count -= 1          if self._push_count > 0:           ",yes,52
naive,49,")          with collect_errors:             self.app.do_teardown_appcontext(self, exc)          _cv_",no,52
naive,50,"er__(self) -> te.Self:         self.push()         return self      def __exit__(         self,     ",yes,52
naive,51,"                 f""<{type(self).__name__} {id(self)} of {self.app.name},""                 f"" {self.r",yes,52
naive,52,"   ""'RequestContext' has merged with 'AppContext', and will be removed""             "" in Flask 4.0. ",yes,52
ast,1,from __future__ import annotations  import contextvars import typing as t from functools import upda,yes,8
ast,2,"class _AppCtxGlobals:     """"""A plain object. Used as a namespace for storing data during an     appl",yes,8
ast,3,"def after_this_request(     f: ft.AfterRequestCallable[t.Any], ) -> ft.AfterRequestCallable[t.Any]: ",yes,8
ast,4,"def copy_current_request_context(f: F) -> F:     """"""Decorate a function to run inside the current re",yes,8
ast,5,"def has_request_context() -> bool:     """"""Test if an app context is active and if it has request inf",yes,8
ast,6,"def has_app_context() -> bool:     """"""Test if an app context is active. Unlike :func:`has_request_co",yes,8
ast,7,"class AppContext:     """"""An app context contains information about an app, and about the request    ",yes,8
ast,8,"def __getattr__(name: str) -> t.Any:     import warnings      if name == ""RequestContext"":         w",yes,8
naive,1,from __future__ import annotations  import typing as t  from jinja2.loaders import BaseLoader from w,yes,18
naive,2,"odeError(AssertionError, UnicodeError):     """"""Raised in places where we want some better error repo",no,18
naive,3,"/BadRequest.     """"""      def __init__(self, request: Request, key: str) -> None:         form_match",no,18
naive,4,"           "" 'multipart/form-data' which means that no file contents""             "" were transmitted",yes,18
naive,5,"r instead transmitted some file names. ""                 f""This was submitted: {names}""             ",yes,18
naive,6,"od or body. This happens     when method is not GET, HEAD or OPTIONS and the status code is not     ",no,18
naive,7,"          f"" a redirect to the canonical URL '{exc.new_url}'.""         ]          if f""{request.base",yes,18
naive,8,"             )          buf.append(             "" Send requests to the canonical URL, or use 307 or ",no,18
naive,9,"quest: Request) -> None:     """"""Patch ``request.files.__getitem__`` to raise a descriptive error    ",yes,18
naive,10, t.Any:             try:                 return super().__getitem__(key)             except KeyError,yes,18
naive,11,_     newcls.__module__ = oldcls.__module__     request.files.__class__ = newcls   def _dump_loader_,no,18
naive,12,", (tuple, list)):             if not all(isinstance(x, str) for x in value):                 continu",no,18
naive,13,"mplate_loading_attempts(     app: App,     template: str,     attempts: list[         tuple[        ",yes,18
naive,14,  total_found = 0     blueprint = None      if (ctx := _cv_app.get(None)) is not None and ctx.has_re,yes,18
naive,15,"):             src_info = f""blueprint {srcobj.name!r} ({srcobj.import_name})""         else:         ",yes,18
naive,16,"  else:             detail = f""found ({triple[1] or '<string>'!r})""             total_found += 1    ",yes,18
naive,17,"rs returned a match for the template."")         seems_fishy = True      if blueprint is not None and",yes,18
naive,18,"     info.append(""  See https://flask.palletsprojects.com/blueprints/#templates"")      app.logger.in",yes,18
ast,1,from __future__ import annotations  import typing as t  from jinja2.loaders import BaseLoader from w,yes,7
ast,2,"class UnexpectedUnicodeError(AssertionError, UnicodeError):     """"""Raised in places where we want so",yes,7
ast,3,"class DebugFilesKeyError(KeyError, AssertionError):     """"""Raised from request.files during debuggin",yes,7
ast,4,"class FormDataRoutingRedirect(AssertionError):     """"""This exception is raised in debug mode if a ro",no,7
ast,5,"def attach_enctype_error_multidict(request: Request) -> None:     """"""Patch ``request.files.__getitem",yes,7
ast,6,"def _dump_loader_info(loader: BaseLoader) -> t.Iterator[str]:     yield f""class: {type(loader).__mod",no,7
ast,7,"def explain_template_loading_attempts(     app: App,     template: str,     attempts: list[         ",yes,7
naive,1,from __future__ import annotations  import typing as t from contextvars import ContextVar  from werk,yes,7
naive,2,"ypeVar(""T"", covariant=True)      class ProxyMixin(t.Protocol[T]):         def _get_current_object(se",no,7
naive,3,"pContext], AppContext): ...      class _AppCtxGlobalsProxy(ProxyMixin[_AppCtxGlobals], _AppCtxGlobal",yes,7
naive,4,"current application to be set. To solve this, set up an app context using 'with app.app_context()'. ",yes,7
naive,5,"laskProxy = LocalProxy(  # type: ignore[assignment]     _cv_app, ""app"", unbound_message=_no_app_msg ",yes,7
naive,6,"ocumentation on request context for more information.\ """""" request: RequestProxy = LocalProxy(  # ty",no,7
naive,7,"warnings      if name == ""request_ctx"":         warnings.warn(             ""'request_ctx' has merged",yes,7
ast,1,from __future__ import annotations  import typing as t from contextvars import ContextVar  from werk,no,2
ast,2,"def __getattr__(name: str) -> t.Any:     import warnings      if name == ""request_ctx"":         warn",yes,2
naive,1,from __future__ import annotations  import importlib.util import os import sys import typing as t fr,yes,71
naive,2, from werkzeug.wrappers import Response as BaseResponse  from .globals import _cv_app from .globals ,no,71
naive,3,"     """"""Get whether debug mode should be enabled for the app, indicated by the     :envvar:`FLASK_DE",yes,71
naive,4, disabled loading default dotenv files by     setting :envvar:`FLASK_SKIP_DOTENV`. The default is ``,yes,71
naive,5,"stream_with_context(     generator_or_function: t.Iterator[t.AnyStr], ) -> t.Iterator[t.AnyStr]: ...",no,71
naive,6,"t.Callable[..., t.Iterator[t.AnyStr]], ) -> t.Iterator[t.AnyStr] | t.Callable[[t.Iterator[t.AnyStr]]",yes,71
naive,7,"quest context     will typically have ended.      .. warning::          Due to the following caveat,",yes,71
naive,8,"efore starting the response. In particular,     if the generator will access ``session``, be sure to",yes,71
naive,9,": python          from flask import stream_with_context, request, Response          @app.get(""/strea",no,71
naive,10, it as a wrapper around a created generator:      .. code-block:: python          from flask import ,yes,71
naive,11,"esponse(stream_with_context(generate()))      .. versionadded:: 0.9     """"""     try:         gen = i",yes,71
naive,12,"th_context(gen)          return update_wrapper(decorator, generator_or_function)  # type: ignore[arg",yes,71
naive,13,"n a view function.""             )          with ctx:             yield None  # type: ignore[misc]   ",yes,71
naive,14,tinel value. This captures the current     # context and pushes it to preserve it. Further iteration,yes,71
naive,15, do not have to return response objects but can return a value that     is converted into a response,yes,71
naive,16,"a new header::          def index():             return render_template('index.html', foo=42)      Y",yes,71
naive,17,accepts the very same arguments you can return from a     view function.  This for example creates a,yes,71
naive,18,  decorators::          response = make_response(view_function())         response.headers['X-Parach,yes,71
naive,19,"th it.     -   if more than one argument is passed, the arguments are passed         to the :meth:`f",yes,71
naive,20,"ndpoint: str,     *,     _anchor: str | None = None,     _method: str | None = None,     _scheme: st",yes,71
naive,21,r() <flask.Flask.url_for>`. See that method     for full documentation.      :param endpoint: The en,yes,71
naive,22,"e the URL associated with this         method for the endpoint.     :param _scheme: If given, the UR",yes,71
naive,23,URLs are         external by default.     :param values: Values to use for the variable parts of the,yes,71
naive,24,    The ``_scheme`` parameter was added.      .. versionchanged:: 0.9        The ``_anchor`` and ``_,yes,71
naive,25,"eme,         _external=_external,         **values,     )   def redirect(     location: str, code: i",no,71
naive,26,nc:`werkzeug.utils.redirect`.      :param location: The URL to redirect to.     :param code: The sta,yes,71
naive,27,.. versionadded:: 2.2         Calls ``current_app.redirect`` if available instead of always         ,no,71
naive,28,"*args: t.Any, **kwargs: t.Any) -> t.NoReturn:     """"""Raise an :exc:`~werkzeug.exceptions.HTTPExcepti",yes,71
naive,29,"tion, which must be         registered in ``app.aborter``.     :param args: Passed to the exception.",yes,71
naive,30,"x.app.aborter(code, *args, **kwargs)      _wz_abort(code, *args, **kwargs)   def get_template_attrib",no,71
naive,31,wing contents:      .. sourcecode:: html+jinja         {% macro hello(name) %}Hello {{ name }}!{% en,yes,71
naive,32,"tribute: the name of the variable of macro to access     """"""     return getattr(current_app.jinja_en",yes,71
naive,33,   the template has to call :func:`get_flashed_messages`.      .. versionchanged:: 0.3        `categ,yes,71
naive,34,"`` for errors, ``'info'`` for information                      messages and ``'warning'`` for warnin",yes,71
naive,35,"structures in the session are     # always in sync with the session object, which is not true for se",yes,71
naive,36,"essage_flashed.send(         app,         _async_wrapper=app.ensure_sync,         message=message,  ",yes,71
naive,37,her calls in the same request to the function will return     the same messages.  By default just th,yes,71
naive,38,ategories in `category_filter`.  This allows rendering categories in     separate html blocks.  The ,yes,71
naive,39,r` filters the messages down to only those matching the       provided categories.      See :doc:`/p,yes,71
naive,40,  :param category_filter: filter of categories to limit return values.  Only                        ,yes,71
naive,41," flashes = list(filter(lambda f: f[0] in category_filter, flashes))     if not with_categories:     ",yes,71
naive,42,"le_max_age      kwargs.update(         environ=ctx.request.environ,         use_x_sendfile=ctx.app.c",yes,71
naive,43,"s_attachment: bool = False,     download_name: str | None = None,     conditional: bool = True,     ",yes,71
naive,44, a file path or a file-like object. Paths     are preferred in most cases because Werkzeug can manag,yes,71
naive,45,"ded by a user. The path is assumed to be     trusted, so a user could craft a path to access a file ",yes,71
naive,46,"ternatively,     if the HTTP server supports ``X-Sendfile``, configuring Flask with     ``USE_X_SEND",yes,71
naive,47,"en.         Alternatively, a file-like object opened in binary mode. Make         sure the file poin",yes,71
naive,48,e the file instead of displaying it.     :param download_name: The default name browsers will use wh,yes,71
naive,49,"le, which requires passing         a file path. Can also be a string to use instead.     :param last",yes,71
naive,50,"ol`` will be ``public``, otherwise         it will be ``no-cache`` to prefer conditional caching.   ",yes,71
naive,51,`` replaces the ``cache_timeout`` parameter.         ``conditional`` is enabled and ``max_age`` is n,yes,71
naive,52,from         :class:`~io.TextIOBase` will raise a :exc:`ValueError` rather         than sending an e,yes,71
naive,53,versionchanged:: 1.1         Passing a :class:`~io.BytesIO` object supports range requests.      .. ,yes,71
naive,54,nged:: 0.12         The filename is no longer automatically inferred from file         objects. If y,yes,71
naive,55,.      .. versionchanged:: 0.9         ``cache_timeout`` defaults to         :meth:`Flask.get_send_f,yes,71
naive,56,"ed:: 0.5         The ``add_etags``, ``cache_timeout`` and ``conditional``         parameters were ad",yes,71
naive,57,"nviron,             mimetype=mimetype,             as_attachment=as_attachment,             download",no,71
naive,58,"Like[str] | str,     **kwargs: t.Any, ) -> Response:     """"""Send a file from within a directory usin",yes,71
naive,59,"     This is a secure way to serve files from a folder, such as static     files or uploads. Uses :f",yes,71
naive,60,eug.exceptions.NotFound` error.      :param directory: The directory that ``path`` must be located u,yes,71
naive,61,gs: Arguments to pass to :func:`send_file`.      .. versionchanged:: 2.0         ``path`` replaces t,yes,71
naive,62,"  # type: ignore[return-value]         directory, path, **_prepare_send_file_kwargs(**kwargs)     ) ",yes,71
naive,63,"find_package`.      :meta private:     """"""     # Module already imported and has a file attribute. U",yes,71
naive,64,     spec = importlib.util.find_spec(import_name)          if spec is None:             raise ValueE,yes,71
naive,65,th the current working directory.     if loader is None:         return os.getcwd()      if hasattr(,yes,71
naive,66,""", None)          # If we don't have a file path it might be because it is a         # namespace pac",yes,71
naive,67,""" {import_name!r}. This can happen because the module""                 "" came from an import hook th",yes,71
naive,68," module, or __init__.py for a package.     return os.path.dirname(os.path.abspath(filepath))  # type",yes,71
naive,69,ontext manager that records and silences an error raised within it.     Used to run all teardown fun,no,71
naive,70,"ne,         exc_val: BaseException | None,         exc_tb: TracebackType | None,     ) -> bool:     ",yes,71
naive,71,"11):                 raise BaseExceptionGroup(message, self.errors)  # noqa: F821             else: ",yes,71
ast,1,from __future__ import annotations  import importlib.util import os import sys import typing as t fr,yes,19
ast,2,"def get_debug_flag() -> bool:     """"""Get whether debug mode should be enabled for the app, indicated",yes,19
ast,3,"def get_load_dotenv(default: bool = True) -> bool:     """"""Get whether the user has disabled loading ",yes,19
ast,4,"def stream_with_context(     generator_or_function: t.Iterator[t.AnyStr], ) -> t.Iterator[t.AnyStr]:",yes,19
ast,5,"def stream_with_context(     generator_or_function: t.Callable[..., t.Iterator[t.AnyStr]], ) -> t.Ca",yes,19
ast,6,"def stream_with_context(     generator_or_function: t.Iterator[t.AnyStr] | t.Callable[..., t.Iterato",yes,19
ast,7,"def make_response(*args: t.Any) -> Response:     """"""Sometimes it is necessary to set additional head",yes,19
ast,8,"def url_for(     endpoint: str,     *,     _anchor: str | None = None,     _method: str | None = Non",yes,19
ast,9,"def redirect(     location: str, code: int = 303, Response: type[BaseResponse] | None = None ) -> Ba",yes,19
ast,10,"def abort(code: int | BaseResponse, *args: t.Any, **kwargs: t.Any) -> t.NoReturn:     """"""Raise an :e",no,19
ast,11,"def get_template_attribute(template_name: str, attribute: str) -> t.Any:     """"""Loads a macro (or va",yes,19
ast,12,"def flash(message: str, category: str = ""message"") -> None:     """"""Flashes a message to the next req",no,19
ast,13,"def get_flashed_messages(     with_categories: bool = False, category_filter: t.Iterable[str] = () )",yes,19
ast,14,"def _prepare_send_file_kwargs(**kwargs: t.Any) -> dict[str, t.Any]:     ctx = app_ctx._get_current_o",yes,19
ast,15,"def send_file(     path_or_file: os.PathLike[t.AnyStr] | str | t.IO[bytes],     mimetype: str | None",yes,19
ast,16,"def send_from_directory(     directory: os.PathLike[str] | str,     path: os.PathLike[str] | str,   ",yes,19
ast,17,"def get_root_path(import_name: str) -> str:     """"""Find the root path of a package, or the path that",yes,19
ast,18,"def _split_blueprint_path(name: str) -> list[str]:     out: list[str] = [name]      if ""."" in name: ",yes,19
ast,19,"class _CollectErrors:     """"""A context manager that records and silences an error raised within it. ",yes,19
naive,1,from __future__ import annotations  import logging import sys import typing as t  from werkzeug.loca,no,7
naive,2,"uest     is active, log to ``wsgi.errors``, otherwise use ``sys.stderr``.      If you configure your",yes,7
naive,3,"quest:         return request.environ[""wsgi.errors""]  # type: ignore[no-any-return]      return sys.",yes,7
naive,4,tEffectiveLevel()     current = logger      while current:         if any(handler.level <= level for,yes,7
naive,5,rmat #: ``[%(asctime)s] %(levelname)s in %(module)s: %(message)s``. default_handler = logging.Stream,no,7
naive,6,re it if needed.      The logger name will be the same as     :attr:`app.import_name <flask.Flask.na,yes,7
naive,7,"ogging.wsgi_errors_stream` with a basic format.     """"""     logger = logging.getLogger(app.name)    ",yes,7
ast,1,from __future__ import annotations  import logging import sys import typing as t  from werkzeug.loca,yes,4
ast,2,"def wsgi_errors_stream() -> t.TextIO:     """"""Find the most appropriate error stream for the applicat",yes,4
ast,3,"def has_level_handler(logger: logging.Logger) -> bool:     """"""Check if there is a handler in the log",yes,4
ast,4,"def create_logger(app: App) -> logging.Logger:     """"""Get the Flask app's logger and configure it if",yes,4
naive,1,from __future__ import annotations  import collections.abc as c import hashlib import typing as t fr,yes,43
naive,2,ag import TaggedJSONSerializer  if t.TYPE_CHECKING:  # pragma: no cover     import typing_extensions,no,43
naive,3,"elf) -> bool:         """"""This reflects the ``'_permanent'`` key in the dict.""""""         return self.",yes,43
naive,4,ut that is not guaranteed. Use with caution. The mixin     # default is hard-coded ``False``.     ne,yes,43
naive,5,", even if it was not modified. This     is set when the session object is accessed through the reque",yes,43
naive,6,"ict[str, t.Any], SessionMixin):     """"""Base class for sessions based on signed cookies.      This se",yes,43
naive,7,to ``True``. Only the session     #: dictionary itself is tracked; if the session contains mutable  ,no,43
naive,8,"f,         initial: c.Mapping[str, t.Any] | None = None,     ) -> None:         def on_update(self: ",no,43
naive,9,"ly access to the empty session     but fail on setting.     """"""      def _fail(self, *args: t.Any, *",no,43
naive,10,etitem__ = __delitem__ = clear = pop = popitem = update = setdefault = _fail     del _fail   class S,yes,43
naive,11,"eth:`save_session`, the others have     useful defaults which you don't need to change.      The ses",yes,43
naive,12,"s Session(dict, SessionMixin):             pass      If :meth:`open_session` returns ``None`` Flask ",yes,43
naive,13,that the secret key was not set.      To replace the session interface on an application all you hav,yes,43
naive,14,"ing a new session interface, consider     whether reads or writes to the backing store must be synch",yes,43
naive,15,will look here for the class that should     #: be created when a null session is requested.  Likewi,yes,43
naive,16,o make a decision in regards     #: to how to deal with the session object.     #:     #: .. version,no,43
naive,17,     error.  This mainly aids the user experience because the job of the         null session is to ,yes,43
naive,18,"ion_class()      def is_null_session(self, obj: object) -> bool:         """"""Checks if a given object",yes,43
naive,19,"_cookie_name(self, app: Flask) -> str:         """"""The name of the session cookie. Uses``app.config[""",yes,43
naive,20,",         browsers will only send the cookie to the exact domain it was set from.         Otherwise,",yes,43
naive,21," app.config[""SESSION_COOKIE_DOMAIN""]  # type: ignore[no-any-return]      def get_cookie_path(self, a",yes,43
naive,22," uses ``/`` if it's ``None``.         """"""         return app.config[""SESSION_COOKIE_PATH""] or app.co",yes,43
naive,23,"TTPONLY``         config var.         """"""         return app.config[""SESSION_COOKIE_HTTPONLY""]  # ty",yes,43
naive,24,"n app.config[""SESSION_COOKIE_SECURE""]  # type: ignore[no-any-return]      def get_cookie_samesite(se",yes,43
naive,25,"return app.config[""SESSION_COOKIE_SAMESITE""]  # type: ignore[no-any-return]      def get_cookie_part",yes,43
naive,26,"OKIE_PARTITIONED""]  # type: ignore[no-any-return]      def get_expiration_time(self, app: Flask, ses",yes,43
naive,27,"ssion         lifetime configured on the application.         """"""         if session.permanent:     ",yes,43
naive,28,      should be set for this session cookie for this response. If the session         has been modif,yes,43
naive,29,"        """"""          return session.modified or (             session.permanent and app.config[""SESS",yes,43
naive,30,      This must return an object which implements a dictionary-like         interface as well as the,yes,43
naive,31,"ase.         """"""         raise NotImplementedError()      def save_session(         self, app: Flask",no,43
naive,32,"``.         """"""         raise NotImplementedError()   session_json_serializer = TaggedJSONSerializer",yes,43
naive,33,"se.     """"""     return hashlib.sha1(string)   class SecureCookieSessionInterface(SessionInterface): ",yes,43
naive,34," = ""cookie-session""     #: the hash function to use for the signature.  The default is sha1     dige",yes,43
naive,35,alizer with support for some extra Python types     #: such as datetime objects or tuples.     seria,yes,43
naive,36,"        if fallbacks := app.config[""SECRET_KEY_FALLBACKS""]:             keys.extend(fallbacks)      ",yes,43
naive,37,"s={                 ""key_derivation"": self.key_derivation,                 ""digest_method"": self.dig",no,43
naive,38,(self.get_cookie_name(app))         if not val:             return self.session_class()         max_,yes,43
naive,39,"sion(         self, app: Flask, session: SessionMixin, response: Response     ) -> None:         nam",yes,43
naive,40,"_samesite(app)         httponly = self.get_cookie_httponly(app)          # Add a ""Vary: Cookie"" head",yes,43
naive,41,      if not session:             if session.modified:                 response.delete_cookie(      ,yes,43
naive,42,"           )                 response.vary.add(""Cookie"")              return          if not self.sh",yes,43
naive,43,"             val,             expires=expires,             httponly=httponly,             domain=dom",yes,43
ast,1,from __future__ import annotations  import collections.abc as c import hashlib import typing as t fr,yes,7
ast,2,"class SessionMixin(MutableMapping[str, t.Any]):     """"""Expands a basic dictionary with session attri",yes,7
ast,3,"class SecureCookieSession(CallbackDict[str, t.Any], SessionMixin):     """"""Base class for sessions ba",no,7
ast,4,"class NullSession(SecureCookieSession):     """"""Class used to generate nicer error messages if sessio",no,7
ast,5,"class SessionInterface:     """"""The basic interface you have to implement in order to replace the    ",yes,7
ast,6,"def _lazy_sha1(string: bytes = b"""") -> t.Any:     """"""Don't access ``hashlib.sha1`` until runtime. FI",yes,7
ast,7,"class SecureCookieSessionInterface(SessionInterface):     """"""The default session interface that stor",yes,7
naive,1,from __future__ import annotations  from blinker import Namespace  # This namespace is only for sign,yes,3
naive,2,"_signals.signal(""request-finished"") request_tearing_down = _signals.signal(""request-tearing-down"") g",yes,3
naive,3,"sage_flashed = _signals.signal(""message-flashed"") ",yes,3
ast,1,from __future__ import annotations  from blinker import Namespace  # This namespace is only for sign,yes,1
naive,1,from __future__ import annotations  import typing as t  from jinja2 import BaseLoader from jinja2 im,yes,21
naive,2,ignals import template_rendered  if t.TYPE_CHECKING:  # pragma: no cover     from .sansio.app import,no,21
naive,3,"""""""     ctx = app_ctx._get_current_object()     rv: dict[str, t.Any] = {""g"": ctx.g}      if ctx.has_",yes,21
naive,4,ular Jinja environment but has some additional     knowledge of how Flask's blueprint works so that ,no,21
naive,5,"()         BaseEnvironment.__init__(self, **options)         self.app = app   class DispatchingJinja",no,21
naive,6,"nt, template: str     ) -> tuple[str, str | None, t.Callable[[], bool] | None]:         if self.app.",yes,21
naive,7," str     ) -> tuple[str, str | None, t.Callable[[], bool] | None]:         attempts = []         rv:",yes,21
naive,8,"_source(environment, template)                 if trv is None:                     trv = rv         ",yes,21
naive,9,      if trv is not None:             return trv         raise TemplateNotFound(template)      def _,yes,21
naive,10,"ource(environment, template)             except TemplateNotFound:                 continue         r",no,21
naive,11, self.app.iter_blueprints():             loader = blueprint.jinja_loader             if loader is no,no,21
naive,12,lueprint in self.app.iter_blueprints():             loader = blueprint.jinja_loader             if l,yes,21
naive,13,"    app.update_template_context(ctx, context)     before_render_template.send(         app, _async_w",yes,21
naive,14,"    template_name_or_list: str | Template | list[str | Template],     **context: t.Any, ) -> str:   ",yes,21
naive,15," the template.     """"""     ctx = app_ctx._get_current_object()     template = ctx.app.jinja_env.get_",yes,21
naive,16,rce: The source code of the template to render.     :param context: The variables to make available ,yes,21
naive,17,"Iterator[str]:     app = ctx.app     app.update_template_context(ctx, context)     before_render_tem",no,21
naive,18,"p.ensure_sync, template=template, context=context         )      return stream_with_context(generate",yes,21
naive,19,ch can be used as a     streaming response from a view.      :param template_name_or_list: The name ,yes,21
naive,20,"ate = ctx.app.jinja_env.get_or_select_template(template_name_or_list)     return _stream(ctx, templa",yes,21
naive,21, streaming response from a view.      :param source: The source code of the template to render.     ,yes,21
ast,1,from __future__ import annotations  import typing as t  from jinja2 import BaseLoader from jinja2 im,yes,10
ast,2,"def _default_template_ctx_processor() -> dict[str, t.Any]:     """"""Default template context processor",yes,10
ast,3,"class Environment(BaseEnvironment):     """"""Works like a regular Jinja environment but has some addit",no,10
ast,4,"class DispatchingJinjaLoader(BaseLoader):     """"""A loader that looks for templates in the applicatio",yes,10
ast,5,"def _render(ctx: AppContext, template: Template, context: dict[str, t.Any]) -> str:     app = ctx.ap",yes,10
ast,6,"def render_template(     template_name_or_list: str | Template | list[str | Template],     **context",yes,10
ast,7,"def render_template_string(source: str, **context: t.Any) -> str:     """"""Render a template from the ",yes,10
ast,8,"def _stream(     ctx: AppContext, template: Template, context: dict[str, t.Any] ) -> t.Iterator[str]",yes,10
ast,9,"def stream_template(     template_name_or_list: str | Template | list[str | Template],     **context",yes,10
ast,10,"def stream_template_string(source: str, **context: t.Any) -> t.Iterator[str]:     """"""Render a templa",yes,10
naive,1,from __future__ import annotations  import importlib.metadata import typing as t from contextlib imp,yes,29
naive,2,import Client from werkzeug.wrappers import Request as BaseRequest  from .cli import ScriptInfo from,yes,29
naive,3,"""An :class:`~werkzeug.test.EnvironBuilder`, that takes defaults from the     application.      :para",yes,29
naive,4,"FERRED_URL_SCHEME`, ``subdomain``,         :data:`SERVER_NAME`, and :data:`APPLICATION_ROOT`.     :p",yes,29
naive,5, ``content_type`` to         ``application/json``.     :param args: other positional arguments passe,no,29
naive,6,"se_url: str | None = None,         subdomain: str | None = None,         url_scheme: str | None = No",yes,29
naive,7,"l_scheme"" with ""base_url"".'         )          if base_url is None:             http_host = app.conf",yes,29
naive,8,"PREFERRED_URL_SCHEME""]              url = urlsplit(path)             base_url = (                 f""",yes,29
naive,9,"().__init__(path, base_url, *args, **kwargs)      def json_dumps(self, obj: t.Any, **kwargs: t.Any) ",yes,29
naive,10,")   _werkzeug_version = """"   def _get_werkzeug_version() -> str:     global _werkzeug_version      i",yes,29
naive,11, the cleanup of the request context until the end of a     ``with`` block. For general information a,yes,29
naive,12,"   `client.environ_base`.      Basic usage is outlined in the :doc:`/testing` chapter.     """"""      ",no,29
naive,13,"ack = ExitStack()         self.environ_base = {             ""REMOTE_ADDR"": ""127.0.0.1"",             ",no,29
naive,14,tatement this opens a         session transaction.  This can be used to modify the session that     ,yes,29
naive,15,ng through a temporary test         request context and since session handling could depend on      ,yes,29
naive,16,"Cookies are disabled. Create a client with 'use_cookies=True'.""             )          app = self.ap",yes,29
naive,17,"raise RuntimeError(""Session backend did not open a session."")          yield sess         resp = app",yes,29
naive,18,".partition("":"")[0],             ctx.request.path,             resp.headers.getlist(""Set-Cookie""),   ",no,29
naive,19,"eturn out      def _request_from_builder_args(         self, args: tuple[t.Any, ...], kwargs: dict[s",no,29
naive,20,"nally:             builder.close()      def open(         self,         *args: t.Any,         buffer",no,29
